rule,date,rank,code,name,auction_pct,close_vs_open_pct,win,score
gap-only-v11,2026-09-02,8,600989,宝丰能源,2.79,-3.447,0,90.469
gap-only-v11,2026-09-02,9,603318,水发燃气,3.239,-0.607,0,88.987
gap-only-v11,2026-09-02,10,600188,兖矿能源,3.336,-5.694,0,84.168
gap-only-v11,2026-09-03,1,002155,湖南黄金,2.976,2.098,1,98.907
gap-only-v11,2026-09-03,2,002432,九安医疗,3.123,-3.387,0,94.401
gap-only-v11,2026-09-03,3,002980,华盛昌,3.135,6.869,1,93.849
gap-only-v11,2026-09-03,4,603083,剑桥科技,2.778,0.728,1,89.899
gap-only-v11,2026-09-03,5,002721,金一文化,3.268,-4.902,0,87.547
gap-only-v11,2026-09-03,6,600183,生益科技,2.69,-3.925,0,85.91
gap-only-v11,2026-09-03,7,600250,南京商旅,2.679,-5.357,0,85.39
gap-only-v11,2026-09-03,8,002824,和胜股份,3.35,2.454,1,83.48
gap-only-v11,2026-09-03,9,000338,潍柴动力,2.628,-1.468,0,83.069
gap-only-v11,2026-09-03,10,002300,太阳电缆,2.621,7.339,1,82.783
gap-only-v11,2026-09-04,1,002328,新朋股份,2.97,-4.356,0,98.65
gap-only-v11,2026-09-04,2,002436,兴森科技,3.041,-7.985,0,98.153
gap-only-v11,2026-09-04,3,002885,京泉华,2.91,-4.045,0,95.903
gap-only-v11,2026-09-04,4,002827,高争民爆,3.093,6.901,1,95.783
gap-only-v11,2026-09-04,5,001288,运机集团,2.906,-1.856,0,95.735
gap-only-v11,2026-09-04,6,600059,古越龙山,2.874,7.186,1,94.284
gap-only-v11,2026-09-04,7,601212,白银有色,2.865,-3.411,0,93.861
gap-only-v11,2026-09-04,8,000997,新 大 陆,2.845,-0.095,0,92.952
gap-only-v11,2026-09-04,9,601579,会稽山,2.834,7.176,1,92.438
gap-only-v11,2026-09-04,10,002177,御银股份,2.819,-0.663,0,91.784
multifactor-shrunk-50,2026-08-10,1,600651,飞乐音响,2.812,-3.75,0,93.637
multifactor-shrunk-50,2026-08-10,2,601208,东材科技,2.764,-3.983,0,86.89
multifactor-shrunk-50,2026-08-10,3,000962,东方钽业,2.736,1.377,1,85.434
multifactor-shrunk-50,2026-08-10,4,000963,华东医药,2.587,-0.379,0,85.265
multifactor-shrunk-50,2026-08-10,5,600459,贵研铂业,2.713,1.0,1,82.692
multifactor-shrunk-50,2026-08-10,6,601958,金钼股份,2.525,1.305,1,82.628
multifactor-shrunk-50,2026-08-10,7,002167,东方锆业,2.787,2.381,1,81.943
multifactor-shrunk-50,2026-08-10,8,600141,兴发集团,2.637,2.415,1,80.406
multifactor-shrunk-50,2026-08-10,9,603002,宏昌电子,2.857,-1.993,0,80.049
multifactor-shrunk-50,2026-08-10,10,600962,国投中鲁,2.838,-2.98,0,78.778
multifactor-shrunk-50,2026-08-11,1,000410,沈阳机床,2.767,0.791,1,84.55
multifactor-shrunk-50,2026-08-11,2,002716,湖南白银,2.872,-0.851,0,80.961
multifactor-shrunk-50,2026-08-11,3,601015,陕西黑猫,2.624,-1.166,0,78.973
multifactor-shrunk-50,2026-08-11,4,002518,科士达,2.755,-0.299,0,77.878
multifactor-shrunk-50,2026-08-11,5,601020,华钰矿业,2.192,-4.813,0,76.313
multifactor-shrunk-50,2026-08-11,6,002580,圣阳股份,2.43,-2.525,0,75.894
multifactor-shrunk-50,2026-08-11,7,002748,世龙实业,2.167,-3.917,0,75.464
multifactor-shrunk-50,2026-08-11,8,605179,一鸣食品,2.389,7.604,1,74.09
multifactor-shrunk-50,2026-08-11,9,603353,和顺石油,2.907,-2.807,0,74.042
multifactor-shrunk-50,2026-08-11,10,603161,科华控股,2.26,-0.065,0,73.926
multifactor-shrunk-50,2026-08-12,1,603897,长城科技,2.951,7.035,1,84.696
multifactor-shrunk-50,2026-08-12,2,000096,广聚能源,2.662,2.915,1,78.853
multifactor-shrunk-50,2026-08-12,3,000807,云铝股份,2.754,-1.983,0,77.983
multifactor-shrunk-50,2026-08-12,4,603050,科林电气,2.99,-1.55,0,76.278
multifactor-shrunk-50,2026-08-12,5,603392,万泰生物,2.572,-3.452,0,75.752
multifactor-shrunk-50,2026-08-12,6,002145,钛能化学,2.679,-2.232,0,74.296
multifactor-shrunk-50,2026-08-12,7,000665,湖北广电,2.488,7.463,1,74.008
multifactor-shrunk-50,2026-08-12,8,000967,盈峰环境,3.001,-3.001,0,73.935
multifactor-shrunk-50,2026-08-12,9,000426,兴业银锡,2.918,0.645,1,73.842
multifactor-shrunk-50,2026-08-12,10,000933,神火股份,2.564,-1.338,0,73.325
multifactor-shrunk-50,2026-08-13,1,002951,金时科技,2.873,-2.078,0,83.396
multifactor-shrunk-50,2026-08-13,2,000995,皇台酒业,2.76,-2.048,0,82.937
multifactor-shrunk-50,2026-08-13,3,600234,科新发展,2.608,-5.729,0,80.82
multifactor-shrunk-50,2026-08-13,4,002031,巨轮智能,3.271,-5.607,0,78.317
multifactor-shrunk-50,2026-08-13,5,002792,通宇通讯,2.398,1.698,1,78.133
multifactor-shrunk-50,2026-08-13,6,002357,富临运业,2.302,1.702,1,77.922
multifactor-shrunk-50,2026-08-13,7,002364,中恒电气,2.837,0.553,1,76.875
multifactor-shrunk-50,2026-08-13,8,603269,海鸥股份,3.132,-2.847,0,76.224
multifactor-shrunk-50,2026-08-13,9,002289,宇顺电子,2.535,-4.568,0,74.932
multifactor-shrunk-50,2026-08-13,10,603219,富佳股份,3.158,-4.737,0,74.25
multifactor-shrunk-50,2026-08-14,1,605179,一鸣食品,2.692,-7.239,0,81.53
multifactor-shrunk-50,2026-08-14,2,601579,会稽山,3.152,3.897,1,80.931
multifactor-shrunk-50,2026-08-14,3,603236,移远通信,2.675,-0.555,0,79.533
multifactor-shrunk-50,2026-08-14,4,001311,多利科技,2.649,-2.263,0,78.624
multifactor-shrunk-50,2026-08-14,5,603118,共进股份,2.506,7.519,1,76.115
multifactor-shrunk-50,2026-08-14,6,002149,西部材料,2.382,-0.537,0,74.847
multifactor-shrunk-50,2026-08-14,7,603887,城地香江,2.962,-7.526,0,74.77
multifactor-shrunk-50,2026-08-14,8,600052,东望时代,3.046,-1.269,0,74.619
multifactor-shrunk-50,2026-08-14,9,600641,先导基电,2.557,-2.028,0,74.203
multifactor-shrunk-50,2026-08-14,10,605136,丽人丽妆,3.001,-3.121,0,73.999
multifactor-shrunk-50,2026-08-17,1,002724,海洋王,2.95,2.95,1,85.159
multifactor-shrunk-50,2026-08-17,2,002651,利君股份,2.98,7.032,1,84.295
multifactor-shrunk-50,2026-08-17,3,002418,康盛股份,2.703,-2.948,0,83.595
multifactor-shrunk-50,2026-08-17,4,601609,金田股份,3.105,3.836,1,82.861
multifactor-shrunk-50,2026-08-17,5,002631,德尔未来,2.732,-2.623,0,82.14
multifactor-shrunk-50,2026-08-17,6,002229,鸿博股份,2.787,7.245,1,80.589
multifactor-shrunk-50,2026-08-17,7,600547,山东黄金,2.897,-0.307,0,77.516
multifactor-shrunk-50,2026-08-17,8,000633,合金投资,2.697,0.193,1,76.615
multifactor-shrunk-50,2026-08-17,9,000603,盛达资源,2.867,0.654,1,76.23
multifactor-shrunk-50,2026-08-17,10,603929,亚翔集成,2.637,7.363,1,76.02
multifactor-shrunk-50,2026-08-18,1,002476,新叶股份,2.789,-4.382,0,93.111
multifactor-shrunk-50,2026-08-18,2,003031,中瓷电子,2.795,-2.432,0,87.056
multifactor-shrunk-50,2026-08-18,3,002156,通富微电,2.801,-0.78,0,85.557
